Unnamed: 0,FileName,Year,Date,SectionID,text,fallacy,begin,end,xmiID,subcategory,CompID,SpeechID,CompLabel,CompText,Start,End,SentenceID_begin,SentenceID_end,Current_Sentence,Previous_Sentence,Next_Sentence,Speaker,RelID,RelLAbel
5,1988_25Sep_9,1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,2733,2992,20321,Loaded Language,T5,4,Premise,What we're talking about is a combination of a strong and effective and credible nuclear deterrent,2733,2831,3,3,What we're talking about is a combination of a strong and effective and credible nuclear deterrent.,"Nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not.","Strong, well-equipped, well-trained, well-maintained conventional forces.",DUKAKIS,R35,Support
5,1988_25Sep_9,1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,2733,2992,20321,Loaded Language,T5,4,Premise,What we're talking about is a combination of a strong and effective and credible nuclear deterrent,2733,2831,3,3,What we're talking about is a combination of a strong and effective and credible nuclear deterrent.,"Nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not.","Strong, well-equipped, well-trained, well-maintained conventional forces.",DUKAKIS,R37,Support
5,1988_25Sep_9,1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,2733,2992,20321,Loaded Language,T6,4,Premise,"Strong, well-equipped, well-trained, well-maintained conventional forces",2833,2905,4,4,"Strong, well-equipped, well-trained, well-maintained conventional forces.",What we're talking about is a combination of a strong and effective and credible nuclear deterrent.,"And at the same time a willingness to move forward steadily, thoughtfully cautiously.",DUKAKIS,R36,Support
5,1988_25Sep_9,1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,2733,2992,20321,Loaded Language,T6,4,Premise,"Strong, well-equipped, well-trained, well-maintained conventional forces",2833,2905,4,4,"Strong, well-equipped, well-trained, well-maintained conventional forces.",What we're talking about is a combination of a strong and effective and credible nuclear deterrent.,"And at the same time a willingness to move forward steadily, thoughtfully cautiously.",DUKAKIS,R38,Support
5,1988_25Sep_9,1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,2733,2992,20321,Loaded Language,T7,4,Premise,"And at the same time a willingness to move forward steadily, thoughtfully cautiously",2907,2991,5,5,"And at the same time a willingness to move forward steadily, thoughtfully cautiously.","Strong, well-equipped, well-trained, well-maintained conventional forces.",We have serious differences with the Soviet Union.,DUKAKIS,R39,Support
6,1988_25Sep_9,1988,25Sep,9,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,AppealtoEmotion,3594,3729,20326,Loaded Language,T652,4,Claim,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years,3594,3728,13,13,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,Let's not forget that our national security and our economic security go hand in hand.,That's why we need a Democratic administration in Washington in 1989.,DUKAKIS,R49,Support
7,1988_25Sep_9,1988,25Sep,9,"We need a strong, credible, effective nuclear deterrent.",AppealtoEmotion,5879,5935,20331,Loaded Language,T678,7,Claim,"We need a strong, credible, effective nuclear deterrent",5879,5934,17,17,"We need a strong, credible, effective nuclear deterrent.","And to spend billions and billions of dollars as Mr. Bush apparently wants to, although, he, himself has been all over the lot on this issue lately-on Star Wars-in my judgment makes no sense at all.","We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over.",DUKAKIS,R71,Support
8,1988_25Sep_9,1988,25Sep,9,"But I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack.",AppealtoAuthority,4398,4620,20301,Without Evidence,T663,7,Premise,"I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack",4402,4619,2,2,"But I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack.","I said from the beginning that we ought to continue research into the strategic system at about the level that was added in 1983, that's about a billion dollars a year.",It makes real sense.,DUKAKIS,,
9,1988_25Sep_9,1988,25Sep,9,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",AppealtoAuthority,5197,5493,20306,Without Evidence,T671,7,Premise,"Coast Guard cutters tied up at the dock this summer, not patrolling",5425,5492,12,12,"Coast Guard cutters tied up at the dock this summer, not patrolling.","An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel.","They're supposed to be our first line of defense against drugs and the war against drugs, because they don't have enough fuel.",DUKAKIS,R61,Support
9,1988_25Sep_9,1988,25Sep,9,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",AppealtoAuthority,5197,5493,20306,Without Evidence,T671,7,Premise,"Coast Guard cutters tied up at the dock this summer, not patrolling",5425,5492,12,12,"Coast Guard cutters tied up at the dock this summer, not patrolling.","An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel.","They're supposed to be our first line of defense against drugs and the war against drugs, because they don't have enough fuel.",DUKAKIS,R63,Support
